"page_name","funding_entity"
"Moffett for Congress","The Committee to Elect Mike Moffett"
"JFS of Washtenaw County","Jewish Family Services of Washtenaw County"
"Montana Women Vote","WOMEN VOTE!"
"The Wilderness Society","The Wilderness Society"
"Robert Crook for Congress","Robert Crook For Congress"
"Politically Pro Ag","Politically Pro Ag"
"Steve Pearce","Pearce for New Mexico, James Francis Treasurer"
"Veterans for Responsible Leadership","VETERANS FOR RESPONSIBLE LEADERSHIP (VFRL). NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE."
"Elevate Ohio","Elevate Ohio and not authorized by any candidate or candidate's committee"
"Joe Buck for Metro","Friends of Joe Buck"
"Way Forward","members of the Way Forward, a volunteer civic engagement community based in Phoenixville, PA. Not affiliated with any candidate or party."
"We Are PA","We Are Pennsylvania"
"State Representative Martin Daniel","Martin Daniel for Tennessee, Michael Franz, Treasurer"
"Paul Workman","Workman for Texas"
"Roger Williams","THE ROGER WILLIAMS FOR U.S. CONGRESS COMMITTEE"
"Fort Bend Voters League",NA
"Tanner Ainge","Tanner Ainge for Utah County"
"Brady Brammer for House District 27","Elect Brammer"
"Kaysville Civics Lowdown; a citizens perspective",NA
"10th District Virginia Democrats","The Tenth Congressional District Democratic Committee of Virginia. Not authorized by any other candidate or candidate's committee."
"Wexton for Congress // DCCC","Wexton for Congress // DCCC"
"WisconsinEye","WisconsinEye Public Affairs Network"
"Coconino County Democratic Party","the Coconino County Democratic Party, POB 701, Flagstaff, AZ 86002"
"AFSCME 3299","AFSCME Local 3299"
"Steve Stafstrom for State Rep","Stafstrom 2018, Approved by Steve Stafstrom, Gabriel Parisi, Tresurer"
"ATPE - Association of Texas Professional Educators","Association of Texas Professional Educators"
"Darcy Richardson for Governor","Darcy Richardson, Reform Party, for Governor"
"Unitehere Florida PAC","UNITEHERE Florida PAC"
"Michigan Democratic Party","the Michigan Democratic State Central Committee. Authorized by Stabenow for U.S. Senate."
"NELP Action","NELP Action"
"Veterans for Tester","Montanans for Tester"
"Vote for Better Paychecks, Not Dean Heller","UNITE HERE TIP State & Local Fund"
"Marsy's Law for Nevada","Marsy’s Law for Nevada LLC"
"NextGen America","NextGen Climate Action Committee; not authorized by any candidate or candidate's committee."
"The Save Jersey Blog","Save Jersey Advertising LLC"
"State Representative Richard Brown","Citizens for Richard Brown"
"Travis Clardy","Travis for Texas"
"The Young Turks","TYT Network"
"Texas Pastor Council","US Pastor Council"
"Republicans for Beto O'Rourke","Brannon Perkison"
"Christians for Beto O'Rourke","Brannon Perkison"
"United We Dream Action","United We Dream Action"
"SMU","SMU"
"Larry Satcowitz for Vermont State Representative","Elect Satcowitz 12 Prospect Ave Randolph VT 05060"
"Virginia21 at WM","William Parada"
"Cindy for WV","Cindy Lavender-Bowe or CLB 4 WV Committee"
"Kathryn Dodge for AK House","Alaskans for Dodge POB 74660 Fairbanks, AK 99707"
"Shanelle Scales-Preston for Pittsburg City Council","Scales Preston for Pittsburg City Council 2018 | FPPC# 1409513"
"Liberal Lucy","Handel for Congress, Inc."
"Elena Hight","Protect Our Winters Action Fund"
"KOLUMN Magazine","KOLUMN Magazine"
"Rise Up Mystic","RiseUpMystic Administrator"
"Johanna López for Orange County School Board District 2","Johanna López for Orange County School Board, District 2"
"Ketki ""Kay"" Steffen for Judge","Steffen for Judge"
"Warren County Illinois Democrats","Warren County Illinois Democrats"
"Cedric Richmond","Richmond for Congress"
"Shannon Smith for Detroit Public Schools Community District Board","The Committee to Elect Shannon Smith "
"Claudia Tenney Wrong for NY","DCCC. 430 South Capitol St, S.E. Washington, D.C. 20003. Not authorized by any candidate or candidate's committee. "
"NY Election Update","DCCC. 430 South Capitol St, S.E. Washington, D.C. 20003. Not authorized by any candidate or candidate's committee. "
"Liuba Grechen Shirley-Congress","Liuba for Congress "
"Columbia County GOP","Columbia County GOP"
"Human Rights Campaign","Human Rights Campaign PAC"
"Clarion Project","Clarion Project"
"Ob-Gyn Political Action Committee","Ob-GynPAC. Not authorized by any candidate or candidate’s committee."
"Palm Beach County Democratic Party","Palm Beach County Democratic Party"
"Lake County Republicans","Lake County Republican Party"
"Mississippi Conservative News","Mississippi Conservative News"
"Missouri Rising","Missouri Rising"
"Saint Francois County Republican Central Committee","Saint Francois Country Republican Committee Treasurer Mike Millikan"
"CUNA","Member communication of Credit Union National Association & Heartland Credit Union Association on behalf of credit unions in Missouri"
"Bedminster Democrats","The Bedminster Democratic Committee"
"Jeffrey A. Crossman For Ohio","Friends of Jeffrey A. Crossman"
"Crockett County Democratic Party","Crockett County Democratic Party"
"Discernible Truth","Discernible Truth"
"Howstuffworks","HowStuffWorks"
"Black Tie Dinner","Black Tie Dinner"
"Vote Bill Ramos","Vote Ramos (D),  NW 1420 Gilman Blvd #2268, Issaquah, WA 98027"
"Eliot Rabin For Congress","Eliot Rabin/Peter Elliot For Congress"
"Clarke Tucker for Congress and DCCC","Clarke Tucker for Congress and DCCC"
"Bruce Westerman","Westerman for Congress"
"California Wilderness Coalition","California Wilderness Coalition"
"Rodolfo Cortes Barragan for Congress","Rodolfo Cortes Barragan Committee to Elect for Congress"
"North Carolina Values Coalition","North Carolina Values Coalition PAC"
"Humane Society Legislative Fund","Humane Society Legislative Fund"
"The Sentinel","The Sentinel"
"The Wilderness Society","The Wilderness Society Action Fund"
"Jonathan Singer for House District 11","Joanthan Singer for HD 11"
"Theresa Ranciato-Viele for State Representative","Theresa Ranciato-Viele for North Haven, Patricia Brown, Treasurer. Approved by Theresa Ranciato-Viele."
"Drinks with Politicians in Bars","Action Cast Media"
"Drinks with Politicians in Bars",NA
"Brendan Kelly for Congress","Brendan Kelly for Southern Illinois and DCCC"
"Kayla for Iowa","Kayla Koether for Iowa"
"Robbie Smither for Shelby County Magistrate, 5th District.","Robbie Smither"
"Citizens for the Center - C4C","Citizens for the Center"
"Katie Dott Democratic Central Committee 42B","Katie McGrath Dott, Baltimore, MD 21284"
"Elect Raj Kathuria 2018","Friends for Raj Kathuria, Treasurer: Sangita Kathuria"
"Vote Yes on 2 Massachusetts","People Govern, Not Money"
"Milwaukee Film","Milwaukee Film"
"Rep. Keith Ammon","Keith Ammon"
"Veronica4wtc","Friends of Veronica Fernandez "
"New Jersey for a Better Future","New Jersey for a Better Future"
"Toms River GOP","Toms River Republican Finance Committee"
"Grandparents for Democracy","Grandparents for Democracy.  Not authorized by any candidate or candidate’s committee."
"City of Kingston Republicans","Robb Engle"
"Anthony Gonzalez for Congress","Anthony Gonzalez for Congress"
"Kurt Schrader","Kurt Schrader for Congress."
"PA State Rep. Mark Mustio","Pennsylvania House Republican Caucus"
"I Shall Vote","I Shall Vote"
"Roger Williams","THE ROGER WILLIAMS FOR U.S. CONGRESS COMMITTEE."
"LCV Victory Fund","LCV Victory Fund, 740 15th St NW, Washington, DC 20005. Not authorized by any candidate or candidate's committee."
"Rural and Red Political Action Committee","Rural & Red PAC"
"Page County Democrats","Clyde Humphrey"
"Commuting with Julie","Commuting with Julie out of my own damn pocket!"
"Arizona Health Care Voters","Arizona Health Care Voters"
"Protest Trump Arizona - Planning Page","Protest Trump AZ "
"iAmerica Action","SEIU COPE. SEIU Committee on Political Education."
"Republican Party of Florida","the Republican Party of Florida.  Not authorized by any candidate or candidate's committee."
"Cape Coral Republican Club","Cape Coral Republican Club"
"American Heritage Alliance","American Heritage Alliance"
"Patients For Affordable Drugs Action",NA
"Win at the Door PAC","Win at the Door PAC"
"Grassroots America: We The People","Grassroots America - We the People PAC"
"Alexandria GOP","Alexandria Republican City Committee"
"Cowlitz County Democrats",NA
"East Side Progressives Madison WI","East Side Progressives"
"5050 by 2020 PAC","50/50 by 2020 Political Action Committee"
"Marin Democratic Party","Marin Democratic Party"
"Planned Parenthood Advocacy Project Los Angeles County Action Fund","Planned Parenthood Advocacy Project Los Angeles County Action Fund"
"John Hirokawa for Sheriff","John Hirokawa for Sheriff 2018, FPPC# 1396431."
"Defenders of Freedom and Security","Defenders of Freedom and Security"
"Placer Women Democrats","Placer Women Democrats"
"The Wilderness Society Action Fund","The Wilderness Society Action Fund"
"Indivisible- Durango","Indivisible Durango"
"Gaylon Kent For Congress","Gaylon Kent for Congress"
"Guillermina Gonzalez for Delaware","Guillermina Gonzalez for Delaware"
"Peachtree Corners","Peachtree Corners Life to promote interviews, shows and information on our news website and podcast show."
"Health Care Voter","Change Now and not authorized by any candidate or candidate’s committee."
"AFSCME Council 31","AFSCME Council 31"
"Populist Wire","Populist Wire LLC "
"Here For This","Priorities USA Action. 202-904-0620. Not authorized by any candidate or candidate’s committee."
"Big Easy Magazine","Big Easy Magazine"
"Garret Graves","Garret Graves for Congress"
"AARP Maine","AARP Maine State Office"
"JCRC of Greater Washington","JCRC of Greater Washington"
"Drew Pate for MD State Delegate - District 41","Friends of Drew Pate, Treasurer Theresa Carpenter "
"Ottawa County Democratic Party - Michigan","Ottawa County Democratic Party"
"West Amwell Proud: Your Local Democratic Community Organization","West Amwell Proud Democratic Committee "
"Montana Republican Legislative Campaign Committee","Montana Repubican Legislative Campaign Committee, Forrest Mandeville, Treasurer, PO Box 6656 Helena, MT59624"
"Dromedary Records","Dromedary Records"
"Americans For Healthcare Freedom","Americans for Government Accountability."
"Hygeia Analytics","Hygeia Analytics"
"NC for the Future","EDF Action"
"NonDoc","NonDoc Media"
"Richland Township Democratic Committee","Richland Twp Democratic Committee"
"Barb Gleim for State Representative","Citizens for Gleim"
"Stop Offshore Drilling in the Atlantic - SODA","SODA: non-partisan, all-volunteer grassroots group in South Carolina"
"Texas Democratic Party","the Texas Democratic Party"
"CUNA","CULAC, THE PAC OF CREDIT UNION NATIONAL ASSOCIATION, 1-800-356-9655, AND NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE. CULAC, THE PAC OF CREDIT UNION NATIONAL ASSOCIATION, IS RESPONSIBLE FOR THE CONTENT OF THIS ADVERTISING."
"Breaking News Texas","EDF Action"
"MyRoar","Winning for Women, Inc."
"South Seattle Emerald","South Seattle Emerald"
"Republican Party of Kenosha County","the Republican Party of Kenosha County."
"Working Families Party","Working Families Party National Political Action Committee"
"AFL-CIO","AFL-CIO"
"Conservative Trust of America","Conservative Trust of America. Not authorized by any candidate or candidate’s committee. "
"Mark Burns for State Board of Equalization District 2 - 2018","Burns for Board of Equalization District 2 2018 FPPC# 1402329"
"Duval County Democratic Party, Florida","Duval County Democratic Executive Committee"
"The AEGIS Alliance","The AEGIS Alliance"
"Florida Record","The Record"
"Puerto Ricans Against Trump","Add not authorized by any candidate or candidate’s committee"
"Lexington to Concord","Lexington To Concord "
"Hawaii Republican Party","the Hawaiian Republican Party"
"Veronica Pejril for Greencastle Township Advisory Board","Veronica For Greencastle Township"
"CUNA","Credit Union National Association "
"Dan Vermillion for State Senate","Dan Vermillion for State Senate"
"National Education Association of New Mexico","NEA-New Mexico EdPAC"
"Senator Dean A. Tran","The CTE Dean Tran"
"Texas Senate Republican Caucus","Texas Senate Republican Caucus"
"National Democratic Training Committee","the National Democratic Training Committee"
"Justice & Rights Commission","the Justice and Rights Commission / Racine Dominicans"
"Paul Cook","Paul Cook for Congress"
"Senator Andy Vidak","Senator Andy Vidak"
"SoCal Health Care Coalition","Change Now, and not authorized by any candidate or candidate’s committee"
"Yvette Herrell for Congress","Yvette4Congress"
"CAVoices4Progress","California Voices For Progress"
"Uplift Inglewood","The Uplift Inglewood Coalition"
"Hugh McKenney for State Rep","the Committee to Elect McKenney for CT 37th District, Janet Griggs, Treasurer"
"Bob Weiner","Friends of Bob Weiner"
"Berrios4Congress","Joceline Berrios 4 Congress FL4"
"Mike Kingsley for Idaho House 6B","Mike Kingsley for Idaho, Chip Damato - Treasurer"
"Be A Hero","Be a Hero PAC. Not authorized by any candidate or candidate’s committee."
"Higher Heights PAC","Higher Heights for America PAC"
"Brendan Kelly for Congress","Brendan Kelly for Southern Illinois"
"It's Time for Change - Let's Work Together","George R. Macri"
"Teton County Democrats-Montana","Teton County Democrats, Mary Sexton Treasurer, PO Box 1303, Choteau, MT 59422"
"Cascadia Progressive Forum","Cascadia Progressive Forum"
"Middlesex County Democratic Organization","Middlesex County Democratic Organization"
"Xochitl for Congress","DCCC and Xochitl for New Mexico. Approved by Xochitl Torres Small."
"New York State AFL-CIO","New York State AFL-CIO"
"New York State Nurses Association","New York State Nurses Association "
"Diego Hernandez","Friends of Diego Hernandez"
"Grassroots Oregon Voters","Grassroots Oregon Voters"
"Jean Foschi for the PA House 88th District","Friends of Jean Foschi"
"Susan Wild for Congress","Susan Wild for Congress and DCCC"
"The Well News","The Well News, LLC"
"Ruth Hardy for Vermont Senate","Ruth Hardy for Vermont Senate"
"Friends of Steve Hobbs","Committee to Elect Steve Hobbs (D)"
"WA 41st LD Democrats","the 41st Legislative District Democrats"
"Kim McCarthy for State Rep - OH 73","The People With Kim McCarthy"
"NFIB","National Federation of Independent Business Federal Political Action Committee"
"Ben Cardin","Ben Cardin for Senate, Inc"
"Candidates for Liberty","Sean the Candidates for Liberty moderator"
"Planned Parenthood Advocates of Ohio","Planned Parenthood Votes Ohio (206 E. State St. Columbus, OH 43215), and not authorized by any candidate, committee or party."
"FTC PAC","FTC PAC"
"Democrat Precinct 3206 Chair","Matthew Jones 3206 Precinct Chair"
"Shao for Fremont City Council","Yang Shao For Fremont City Council 2018 (FPPC# 1405619)"
"United We Stand - PAC","United We Stand - PAC"
"Yellow Scene Magazine",NA
"Mark LaRusso City Council Dist. 2","Mark LaRusso, Candidate for Melbourne City Council District 2"
"The Dolphin Democrats","Adam Sabin"
"Alliance for Retired Americans","the Alliance for Retired Americans. Not authorized by any candidate or candidate's committee."
"Jason Haeseler For Florida House","Jason Haeseler, Democrat for Florida House District 21"
"Ada County Republicans","Ada County Republican Party"
"Betsy Londrigan for Congress / DCCC","Betsy Dirksen Londrigan for Congress / DCCC"
"Lyon County Democratic Party","Lyon County Democratic Party"
"Cook County Democratic Farmer Labor-DFL Party","Cook County DFL"
"Re-Elect Ballweg for Mesquite City Council","David P Ballweg"
"Dan Belforti for Congress","Dan Belforti for Congress"
"Environment America Action Fund","Environment America Action Fund"
"Otsego County Democrats","Aimee Swan"
"Mark Bordeau, Broome County Legislature","Friends of Mark Bordeau"
"Judith Higgins for State Senate","Friends of Judith Higgins"
"Senator Michael Sirotkin","michael sirotkin"
"Elect Justin Boneau","Elect Justin Boneau (D) P.O. Box 996 Bellingham, WA 98227"
"Voterland","Voterland"
"Stephanie Thomas for Connecticut 143rd","Stephanie Thomas for CT.  Donna I. King, Treasurer.  Approved by Stephanie Thomas."
"The Right Side","RIGHT SIDE"
"Democratic Environmental Caucus of SJC","John Pilecki"
"Oxford County ME Democrats","Oxford County Democrats"
"Minnesota Citizens for Clean Elections","Minnesota Citizens for Clean Elections"
"Jasper County Missouri Republicans","Jasper County Republican Central Committee, Charlie Davis, Treasurer"
"Joel Abelove for District Attorney","Friends of Joel Abelove"
"Jon Hawkins for State Representative -  District 57","Hawkins for 57"
"Jovanka Beckles","Jovanka Beckles for State Assembly 2018 FPPC #1396341"
"Congressional Black Caucus PAC (CBC PAC)","Congressional Black Caucus PAC"
"Democratic Coalition of Northwest Connecticut","Democratic Coalition of Northwest Connecticut"
"Madison County Republicans","Madison County Republican Central Committee"
"Jeannine Lee Lake for Indiana","Jeannine Lee Lake for Indiana"
"Linn County GOP","Daniel W Kauffman Jr for the Linn County Republican Central Committee and not by any other Political Action Committee or Organization"
"Kelly Standley",NA
"Jacob Pulcher","Jacob Pulcher for marylands 5th congressional district"
"DFL CD2","Minnesota's Second Congressional DFL (Democratic-Farmer-Labor Party)"
"Andrew LaBruno Councilman of Dumont","LaBruno for Dumont"
"Dumont Democrats","Dumont Victory 2018"
"Angela Marinucci for Erie County Clerk","Friends of Angela Marinucci"
"Ariel for the Bronx","Friends of Ariel Rivera-Diaz"
"David Gorski for the 72nd Assembly District","The Committee to Elect David Gorski"
"Deschutes Democrats","the Democratic Party of Deschutes County, Oregon"
"Eileen Kiely for the Oregon 53rd","Eileen Kiely for Oregon HD53"
"Keystone Progress","Keystone Progress. Not affiliated with any candidate or candidate's campaign committees."
"Kesha Rogers","Kesha Rogers 2018"
"Houston Young Republicans","Houston Young Republicans"
"J Street Portland","Joel Glick"
"United Food and Commercial Workers International Union","UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION WORKING FAMILIES ADVOCACY PROJECT, 1775 K STREET, NW, WASHINGTON, DC 20006. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE."
"Tony Navarrete","Navarrete for Senate. Authorized by Tony Navarrete."
"Ruth Musser-Lopez for California State Senate, 2018, District 16","Ruth Musser-Lopez for CA Senate 2018 ID#1403226"
"Senate Majority PAC","SMP, and not authorized by any candidate or candidate’s committee."
"Boricua Vota","Boricua Vota. Not authorized by any candidate or candidate’s committee."
"Corazon Coqui","News For Democracy"
"Putnam Republican Club","Putnam Republican Club"
"Andrea Harrington","The Harrington for District Attorney Committee"
"FRC Action","Family Research Council Action"
"Bridge Project","American Bridge 21st Century Foundation. Not authorized by any candidate or candidate’s campaign committee."
"iAmerica Action","United We Can. Not authorized by any candidate or candidate’s committee."
"Republicans for Beto O'Rourke","Jac B."
"Jay Dean for Texas","Jay Dean for Texas"
"Christians for Beto O'Rourke","Jac B."
"Parker County Active Democrats","Parker County Active Democrats"
"Sim Gill for Salt Lake County District Attorney","The Committee to Elect Sim Gill"
"Re-Elect Adam Wool","Adam Wool for State House PO 81430 Fbks AK 99708"
"Mat Pitsch For Arkansas State Senate - District 8","Committee to Elect Mat Pitsch State Senate, District 8"
"Melissa Fults for Arkansas Senate","Melissa FUlts for State Senate"
"American Conservative Union","AMERICAN CONSERVATIVE UNION"
"Contra Costa Republican Party","the Contra Costa Republican Party"
"Association of California Cities, Orange County","Association of California Cities-Orange County"
"Mary Fay for CT State Rep","Mary Fay for CT State Rep, Suzanne Farrell, Treasurer.  Approved by Mary Fay"
"Steve Meskers 4 Greenwich","Greenwich Democratic Town Committee, Robert Brady, Treasurer, PO Box 126, Greenwich CT 06836"
"West Side Tractor Sales Co.",NA
"Central Florida Solutions","Central Florida Solutions"
"George Buck 4 Congress","George Buck, PhD, For the U.S. House of Representatives FL's 13th District"
"Lemhi County Democrats","Connie Delaney"
"Southern Illinois Conservatives","St. Clair Republican Central Committee"
"Arizonans for Affordable Health Care","Sinema for Arizona"
"Arizona Votes","Sinema for Arizona"
"American Cancer Society Cancer Action Network - ACS CAN","the American Cancer Society Cancer Action Network."
"Republican Party of Gilbert","Arizona LD12 Republican Committee"
"Brent Backus for AZ Senate LD13"," the committee BackUS-AZ"
"Western Values Project","Western Values Project Action "
"Mi AZ Campaign","Arizona Wins. 602-888-4907. Not authorized by any candidate."
"Rising American Electorate","Rising American Electorate"
"Scott Menor for America",NA
"Dr. Randy Friese","Dr Friese for House"
"ACLU of Arizona","the American Civil Liberties Union Foundation of Arizona"
"LAFed Action","Working Families Supporting Mike Eng for Senate 2018"
"Berkeley Tenants Union","the Berkeley Tenants Union"
"The Shift Network",NA
"America with Eric Bolling","CRTV"
"Feinstein Doyle Payne & Kravec, LLC",NA
"Concerned Citizens Of America","Concerned Citizens Of America"
"Probolsky Research","Probolsky Research, LLC"
"TODCO - South of Market Neighborhood Builders","Tenants and Owners Development Corporation and its affiliated entity Yerba Buena Neighborhood Consortium LLC, 230 Fourth Street, San Francisco, CA 94103"
"The Decline and Fall of America Starring Jim Greenfield","Marathon Productions, LLC"
"American Center for Law and Justice","American Center for Law and Justice, a d/b/a for Christian Advocates Serving Evangelism, Inc."
"Irvine For Ohio","Irvine for Ohio"
"Santa Monica Term Limits - YES on TL","Santa Monicans for Council Term Limits, Yes on Measure TL FPPC ID 1402643"
"Mike Simpfenderfer","Mike Simpfenderfer Cares About Us For Assembly District #58, 2018 FPPC #1404133"
"Jewish Center for Justice","Jewish Center for Justice"
"Governor Eddie Calvo","A Greater Guam "
"Reflexions Politiques Haitiennes",NA
"Patricia Torres Ray for Congress","Patricia Torres Ray for Congress"
"Native American Rights Fund","the Native American Rights Fund, the oldest and largest non-profit law firm protecting the rights of Native tribes and people."
"AFSCME 3299","Local 3299"
"Glastonbury Republican Town Committee","Glastonbury Republican Town Committee , Ann Mount Treasurer"
"Lockwood for 46th","Lockwood for Norwich, Regina Dickinson, Treasurer"
"Pulso Boricua","Friends of Chris Murphy"
"Mansfield Democrats","Mansfield Democratic Town Committee, Paul Aho, Treasurer"
"Ned Lamont","Ned for CT. Richard Smith Treasurer. Approved by Ned Lamont."
"Corey Stewart","The Republican Party of Virginia Authorized by Corey Stewart"
"Matt Waters for US Senate","Waters For US Senate"
"Corey Parent","Friends of Corey Parent | 5 Potter Ave, St. Albans, VT 05478"
"Patrick County Republican Committee","Patrick County Republican Committee"
"Melanie4NHSenate","The Committee to Elect Melanie Levesque. Cindy Perkins fiscal agent"
"Cheri Steinmetz for Senate District 3","Committee to Elect Cheri Steinmetz"
"Guinn Unger for Colorado State Senate","Unger for Senate Committee"
"Madeleine Leveille for State Rep for Clinton, Killingworth and Westbrook","Friends of Madeleine. Owen Charles, Treasurer. Approved by Madeleine Leveille"
"Reelect Senator Henri Martin","Re-elect Senator Henri Martin, Morgan Murphy, Treasurer. Approved by Henri Martin."
"Sierra Club Maryland Chapter","Paid for by the Maryland Sierra Club PAC. By authority of Sierra Club Maryland Chapter Political Action Committee, Michael A. Pretl, Treasurer."
"Brian Boms, Jim Murphy & Kim Spatola for Atlantic Highlands Town Council",NA
"Steve Bieda for Macomb County Clerk","Citizens for Steve Bieda, PO Box 1311, Warren, MI 48090"
"Martha Marx For State Senate","Marx for CT. Dianna Kulmacz, Treasurer. Approved by Martha Marx."
"Pete Harckham for Senate","Pete Harckham for Senate"
"Equality Florida Action PAC","Equality Florida Action PAC, P.O. Box 13184, Saint Petersburg, FL 33733"
"FloridaStrong","Florida Strong Action PAC independently of any candidate."
"Terrence Murphy","New York State Senate Republican Campaign Committee"
"Rubio for the 166th Legislative District","Friends of Baltazar Rubio"
"Marc Molinaro","Molinaro for New York"
"Ed Hooper for Florida Senate","Ed Hooper, Republican for Florida Senate"
"Florida Planned Parenthood PAC","Florida Planned Parenthood PAC"
"Get the Facts on Pete Harckham","New York State Senate Republican Campaign Committee"
"Florida Education Empowerment PAC","the Florida Education Empowerment PAC P.O. Box 1440, Lutz, FL 33548, independently of any candidate. This advertisement was not approved by any candidate. Not affiliated or authorized by Step Up for Students"
"My Brother Vinny",NA
"Bobby Kuppers for NC Senate","the North Carolina Democratic Party and Kuppers for Senate."
"FloridaStrong","South Florida's Future independently of any candidate."
"Senator Jim Tedisco","Tedisco for Senate "
"Abrams for State Senate","Abrams for State Senate. Peter Hargett, Treasurer Approved by Mary Abrams.."
"Keep NJ Open","Senate Republican Majority"
"GraniteGrok","Skip Murphy and Steve Mac Donald as GraniteGrok.com"
"AARP New Jersey","AARP New Jersey"
"Schexnayder for TX State Rep Dist 133","Marty Schexnayder for State Rep Dist 133"
"peacebuttons","PEACEbuttons"
"New Brunswick Democrats","Cahill Egan Escobar 2018"
"Senate District 13 DFL","SD 13 DFL, PO Box 802, Sartell, MN 56377"
"Bob Steinburg","Elect Bob Steinburg"
"Eric J. Tarr for WV Senate","the Committee to Elect Eric J. Tarr for WV Senate."
"Tom Cullerton for State Senate","Friends of Tom Cullerton"
"State Senator Regina Birdsell","Friends of Regina Birdsell; Mark Skelly, Treasurer"
"Jay Murphy for Illinois District 51 Representative","Jay Murphy"
"Anne Petera for Dare County Commissioner","Petera For Dare County Commissioner At Large"
"Lesniak Institute for American Leadership","The Lesniak Institute for American Leadership"
"Greater Tarpon Springs Democratic Club","Greater Tarpon Springs Democratic Club"
"New Jersey Working Families Alliance",NA
"Council President Rolando Lavarro","Lavarro for Council"
"Chupack for Judge",NA
"David J. Murphy, Candidate for State Senate, Hampshire,Franklin & Worcester","Citizens to Elect Dave Murphy"
"Cory Corson For Island Heights Council","Cory Corson"
"Erick Wyatt For State Senate District 6","Erick Wyatt For State Senate 2018"
"Michelle Ciccolo for State Representative","the Committee to Elect Michelle Ciccolo."
"Statchen 2018",NA
"Fair Property Taxes for All New Jersey","Citizens for Accountable Taxation, Inc. - A 501c3 Nonprofit Organization (Fair Property Taxes for All New Jersey)"
"Delaware Democratic Party","the Delaware Democratic Party"
"Colleen Davis for Treasurer","the Committee to Elect Colleen Davis"
"Stephanie Barry","Friends For Stephanie Barry"
"Patriot Majority","Patriot Majority PAC, patriot majority dot org, not authorized by any candidate or candidate’s committee."
"John Esp for Senate","Esp for Senate, Ron Arthun, Treasurer, Box 375, Clyde Park, MT 59018. Republican"
"Andy Warrener for FL House District 64","Andy Warrener for House District 64 Campaign"
"Highlands County Republican Party","Highlands County Republican Executive Committee"
"Billee Bussard 4 FL Senate","Billee Bussard, Democrat Candidate for Florida Senate District 4"
"Nelson for U.S. Senate","DSCC and Bill Nelson for Senate"
"SACE Action Fund","Southern Alliance for Clean Energy Action Fund"
"American Freedom and Opportunity PAC","American Freedom and Opportunity PAC"
"Immigrants' List Civic Action","Immigrants' List Civic Action"
"We're Just Here to Help","We're Just Here to Help"
"Debra Bellanti for Florida","Debra Bellanti, Democrat for State Representative District 60"
"South Florida Accountability Project","South Florida Accountability Project"
"Red Tide Rick","Red Tide Rick"
"ZAY",NA
"Down South Auction in Oak Hill, FL",NA
"Eddy Dominguez for Florida House District 44","Eddy Dominguez for FL"
"Indivisible Guide","Indivisible Action FL"
"Libertarian Party of Orange County, Fl.","Libertarian Party of Orange County, FL"
"Paul Adamczyk for Putnam County FL School Board","Paul Adamczyk for Putnam County School Board District 5"
"Make Florida Great Again","Make Our State Great Again"
"Choose Me Not 3","Citizens for Truth About Amendment 3, Inc., 610 S. Boulevard, Tampa, FL 33606"
"Larry Sinclair for Cocoa Mayor 2018","This Ad is paid for by Lawrence W. (Larry) Sinclair for Cocoa Mayor 2018"
"PoopBags","The Original Poop Bags®"
"Josh Levy, Mayor of Hollywood, FL","Mayor Josh Levy"
"Drag Up Your Life Ent",NA
"The Original Poop Bags","The Original Poop Bags®"
"Richard Tass for House District 40","Richard Tass for House District 40"
"Mike Meier","Michael Meier for Stuart City Commission"
"Derek Kitchen","Derek Kitchen for Senate 2"
"NARAL Pro-Choice Massachusetts","NARAL Pro-Choice Massachusetts"
"Republican Party of Texas","Republican Party of Texas and not authorized by any candidate or candidates committee."
"Today's Nation","American Engagement Technologies"
"Phil Phelps","CTE Phil Phelps"
"Tim Griffin for Arkansas","Tim Griffin for Arkansas"
"Mark Shelley for NC Senate","the North Carolina Democratic Party and Mark Shelley for Senate Committee."
"Campbell For NC Senate","the North Carolina Democratic Party and Campbell for North Carolina Senate."
"MoveOn","MoveOn.org Civic Action."
"Change Annapolis","Change Annapolis PAC"
"Mike Yin for WY House - HD16","the Committee to Elect Mike Yin"
"Ginger Garner for NC Senate","the North Carolina Democratic Party and Garner for North Carolina."
"Chad Stachowicz for NC Senate","the North Carolina Democratic Party and Chad Stachowicz for NC."
"Representative Faith Winter","Faith for SD 24"
"Linda Meigs for House District 20","Linda Meigs for Alabama House LLC P.O. Box 4181 Huntsville, AL 35815"
"Tom Whatley","Friends of Tom Whatley for State Senate"
"Andy Clark for State Senate","Andy Clark for Georgia, Inc."
"Caroline Walker for NC Senate","the North Carolina Democratic Party and Committee to Elect Caroline Walker."
"Ric Vandett for NC Senate","the North Carolina Democratic Party and Ric Vandett for NC Senate."
"Sean McCann","Sean McCann For State Senate"
"Vernon Moore For NC Senate District 10","the North Carolina Democratic Party and Committee to Elect Vernon Moore NC State Senate District 10."
"D. Cole Phelps for NC Senate","the North Carolina Democratic Party and Committee to Elect D. Cole Phelps to NC Senate District One."
"Richmond RI Democrats","Kristen Chambers"
